confidence,currentSpeed,currentTravelTime,freeFlowSpeed,freeFlowTravelTime,latitude,local,longitude,transito,record_date
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 20:50:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 20:50:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 20:50:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:00:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:00:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:00:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:00:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:00:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 21:00:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:00:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:00:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 21:00:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 21:00:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:10:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:10:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:10:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 21:10:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:10:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:10:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:10:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:10:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 21:10:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 21:10:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:20:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:20:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:20:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:20:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:20:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:20:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 21:20:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:20:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 21:20:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 21:20:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:30:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:30:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:30:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:30:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 21:30:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:30:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:30:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:30:00
0.930000007152557,8,14,18,6,41.5498311,Sé de Braga,-8.4285616,0.5240476230780282,2022-04-06 21:30:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 21:30:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:40:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:40:00
0.990000009536743,24,58,37,38,41.5488151,Estação de Comboios,-8.4336238,0.34460857741097245,2022-04-06 21:40:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:40:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:40:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:40:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:40:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:40:00
0.910000026226043,28,34,39,25,41.5593592,Real Taberna,-8.4462021,0.2487745169735599,2022-04-06 21:40:00
0.930000007152557,8,14,17,6,41.5498311,Sé de Braga,-8.4285616,0.5118907602394327,2022-04-06 21:40:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 21:50:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 21:50:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 21:50:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 21:50:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 21:50:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 21:50:00
0.990000009536743,21,67,37,38,41.5488151,Estação de Comboios,-8.4336238,0.4283077895232582,2022-04-06 21:50:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 21:50:00
1.0,39,25,39,25,41.5593592,Real Taberna,-8.4462021,0.0,2022-04-06 21:50:00
1.0,18,6,18,6,41.5498311,Sé de Braga,-8.4285616,0.0,2022-04-06 21:50:00
1.0,8,45,8,45,41.5465807,Avenida da Liberdade,-8.4201942,0.0,2022-04-06 22:00:00
1.0,72,89,72,89,41.557563,Braga Parque,-8.4072979,0.0,2022-04-06 22:00:00
1.0,75,34,75,34,41.5416698,Centro comercial Minho Center,-8.4022779,0.0,2022-04-06 22:00:00
1.0,37,38,37,38,41.5488151,Estação de Comboios,-8.4336238,0.0,2022-04-06 22:00:00
1.0,54,71,54,71,41.5556929,Meliá,-8.3992663,0.0,2022-04-06 22:00:00
1.0,42,125,42,125,41.5436167,Rotunda Santos da Cunha,-8.432434,0.0,2022-04-06 22:00:00
1.0,49,69,49,69,41.5351848,Bosh,-8.437027,0.0,2022-04-06 22:00:00
1.0,58,66,58,66,41.5278372,Hospital Privado de Braga,-8.417844,0.0,2022-04-06 22:00:00
